status	sim_time	in_0	in_1	
1	3.95813	0	0	
1	4.52345	0	0	
1	5.75959	0	0	
0	5.82714	1	1	
1	6.13771	0	0	
1	6.285	0	0	
0	1.75302	1	1	
1	2.23529	0	0	
0	33.7691	0.0936373	1	
0	33.8207	1	1	
0	18.9834	1	1	
1	19.5495	0	0	
0	16.3947	1	1	
1	16.5731	0	0	
0	6.69998	1	1	
1	6.99114	0	0	
1	7.20958	0	0	
1	8.26014	0	0	
0	2.66594	1	1	
1	2.7532	0	0	
1	2.75958	0	0	
0	0.934304	1	1	
1	1.58887	0	0	
1	1.62381	0	0	
1	1.75077	0	0	
1	2.41891	0	0	
1	3.11462	0	0	
1	3.38537	0	0	
0	35.8936	0.201152	1	
0	25.5337	1	1	
1	25.5518	0	0	
1	25.8543	0	0	
0	25.7217	1	1	
1	25.7657	0	0	
0	14.7254	1	1	
1	15.1504	0	0	
0	11.594	1	1	
1	12.0432	0	0	
1	13.5036	0	0	
0	0.0155866	1	1	
1	0.551249	0	0	
1	0.5674	0	0	
1	1.33088	0	0	
1	5.22082	0	0	
0	38.4423	0.207287	1	
1	38.5284	0	0	
0	0.724689	1	1	
1	0.932232	0	0	
1	1.22836	0	0	
0	1.03911	1	1	
1	1.21392	0	0	
1	1.47797	0	0	
0	2.65007	1	1	
0	2.6659	1	1	
1	2.67902	0	0	
1	2.8985	0	0	
1	2.92395	0	0	
0	1.09176	1	1	
1	1.60403	0	0	
1	1.70069	0	0	
1	2.9253	0	0	
1	3.07415	0	0	
1	3.14925	0	0	
0	2.52931	1	0.747528	
1	2.83134	0	0	
0	3.93991	1	0.456901	
1	4.08035	0	0	
1	4.22456	0	0	
1	4.25093	0	0	
1	4.33588	0	0	
1	4.39506	0	0	
0	6.55816	0.67999	1	
0	0.524743	1	1	
1	0.873349	0	0	
1	0.956783	0	0	
1	1.20951	0	0	
1	1.67262	0	0	
0	4.16714	1	1	
1	4.22809	0	0	
1	4.95376	0	0	
0	4.61011	1	0.60359	
1	5.47576	0	0	
1	6.83998	0	0	
1	7.0128	0	0	
1	7.17015	0	0	
1	7.3543	0	0	
1	7.40259	0	0	
0	4.54095	1	0.233613	
1	4.65996	0	0	
1	4.91667	0	0	
1	5.93303	0	0	
0	12.8098	0.579307	1	
0	11.456	1	1	
1	11.6188	0	0	
1	11.7269	0	0	
1	12.4327	0	0	
1	12.8988	0	0	
0	12.9561	1	1	
1	13.0351	0	0	
1	13.2541	0	0	
1	13.3026	0	0	
0	13.53	1	1	
0	13.5331	1	1	
1	13.5589	0	0	
1	13.7468	0	0	
1	13.7666	0	0	
0	6.86844	1	0.554371	
1	7.44977	0	0	
0	98.1245	0.0100091	1	
0	8.63265	1	1	
1	9.56412	0	0	
1	12.2604	0	0	
1	12.3834	0	0	
0	1.95366	1	1	
0	18.5944	0.11063	1	
0	13.6876	1	1	
0	28.9131	0.338238	1	
0	7.91663	1	1	
1	8.6933	0	0	
1	8.76383	0	0	
1	10.2117	0	0	
1	10.4114	0	0	
0	7.19118	1	1	
1	7.20678	0	0	
1	8.03885	0	0	
1	8.10737	0	0	
0	5.20995	1	0.953963	
1	5.74895	0	0	
1	6.1161	0	0	
1	6.48158	0	0	
1	8.44501	0	0	
1	8.62404	0	0	
1	8.88753	0	0	
0	117.745	0.117955	0.891881	
0	4.5987	1	1	
1	4.6216	0	0	
1	4.70633	0	0	
1	4.96342	0	0	
